Comment,Emotion
Mujhe bahut khushi ho rahi hai,joy
Aaj sab kuch perfect lag raha hai,joy
Dil garden garden ho gaya,joy
Main aaj bohot enjoy kar raha hoon,joy
Yeh surprise amazing tha,joy
Mujhe yeh gift bahut pasand aaya,joy
Aaj main muskura raha hoon bina wajah,joy
Sab kuch itna accha kyun lag raha hai,joy
Main bohot lucky feel kar raha hoon,joy
Yeh pal yaadgaar hai,joy
Mujhe ajeeb si ghabrahat ho rahi hai,fear
Lagta hai kuch bura hone wala hai,fear
Main akela mehsoos kar raha hoon,fear
Mujhe raat se darr lagta hai,fear
Dil tez dhadak raha hai,fear
Mujhe samajh nahi aa raha kya karun,fear
Kahin main fail na ho jaun,fear
Mujhe us jagah jaane se darr lagta hai,fear
Mujhe logon se baat karne mein darr lagta hai,fear
Main tension mein hoon,fear
Yeh bilkul bekaar hai,anger
Mujhe yeh bilkul bhi pasand nahi aaya,anger
Tumne galat kiya hai,anger
Mujhe irritate mat karo,anger
Main bohot gusse mein hoon,anger
Yeh sab bardasht ke bahar hai,anger
Tumhari wajah se problem hui hai,anger
Mujhe akela chhod do,anger
Yeh situation frustrate kar rahi hai,anger
Main control lose kar raha hoon,anger
Aaj main bohot relax feel kar raha hoon,joy
Mujhe apni life pasand hai,joy
Sab log aaj khush lag rahe hain,joy
Yeh music mujhe khush kar raha hai,joy
Main apne doston ke saath enjoy kar raha hoon,joy
Aaj ka weather perfect hai,joy
Mujhe apni achievement par garv hai,joy
Yeh moment special hai,joy
Mujhe hasi aa rahi hai,joy
Main dance karne ka mann kar raha hai,joy
Mujhe ajeeb sapne aa rahe hain,fear
Main nervous feel kar raha hoon,fear
Yeh jagah thodi scary hai,fear
Mujhe darr lag raha hai ki main late ho jaunga,fear
Mujhe kisi par trust nahi ho raha,fear
Mujhe future ki chinta ho rahi hai,fear
Mujhe lag raha hai koi mujhe dekh raha hai,fear
Main safe feel nahi kar raha,fear
Mujhe kuch samajh nahi aa raha,fear
Main panic kar raha hoon,fear
Yeh unacceptable hai,anger
Mujhe yeh attitude pasand nahi hai,anger
